,브랜드,언급량,제품수,총판매량,제품당판매량
547,B002-00665,13499.345253412008,5,3720,744.0
548,B002-00666,17.200054849999987,1,14,14.0
549,B002-00667,72.0091969919998,1,36,36.0
550,B002-00669,3623.4387636649944,78,299860,3844.358974358974
551,B002-00670,100.21529999999946,2,5398,2699.0
552,B002-00671,148.9532299999991,1,209,209.0
553,B002-00672,532.4752099999995,1,115,115.0
554,B002-00673,352.3620799999991,1,142,142.0
555,B002-00675,323.6862006990002,1,26,26.0
556,B002-00676,26556.871435860005,11,92255,8386.818181818182
557,B002-00680,0.0,148,1364069,9216.682432432432
558,B002-00681,16.810910000000035,1,1253,1253.0
559,B002-00682,34.30393000000002,3,1821,607.0
560,B002-00683,364.67713000000015,9,46401,5155.666666666667
561,B002-00684,35.34812000000001,1,260,260.0
562,B002-00686,104.00100999999941,3,7593,2531.0
563,B002-00687,0.3336,32,75031,2344.71875
564,B002-00688,247.92354999999841,1,121,121.0
565,B002-00689,90.20668999999954,3,25272,8424.0
566,B002-00690,1327.1953899999983,2,7470,3735.0
567,B002-00691,4927.644880000004,5,1285,257.0
568,B002-00692,846.139219999999,5,95370,19074.0
569,B002-00694,14.199765319000013,1,2738,2738.0
570,B002-00695,0.145046992,1,2769,2769.0
571,B002-00696,9.862947858999991,6,2377,396.1666666666667
572,B002-00697,11388.083432156012,2,21903,10951.5
573,B002-00698,1065.3587999999995,1,346,346.0
574,B002-00699,476.3974799999988,1,167,167.0
575,B002-00700,0.50766,1,476,476.0
576,B002-00702,226.22342999999898,1,1,1.0
577,B002-00704,137.37809999999908,2,1879,939.5
578,B002-00705,696.2552699999991,16,37135,2320.9375
579,B002-00707,0.08703,1,32,32.0
580,B002-00708,3.205499999999998,1,260,260.0
581,B002-00709,2.7993299999999985,2,6757,3378.5
582,B002-00710,127.06464999999932,1,4117,4117.0
583,B002-00711,170.5663199999988,1,766,766.0
584,B002-00712,0.47864000000000007,2,5238,2619.0
585,B002-00713,3.872719999999998,6,38671,6445.166666666667
586,B002-00714,262.1241999999985,2,35,17.5
587,B002-00715,65.15619999999993,4,500,125.0
588,B002-00716,44.87816999999992,16,28086,1755.375
589,B002-00717,227.32589999999848,1,15,15.0
590,B002-00719,144.29711999999907,1,314,314.0
591,B002-00720,1.8710899999999997,1,2068,2068.0
592,B002-00721,60.876859999999915,1,22,22.0
593,B002-00722,9.340920000000011,24,32387,1349.4583333333333
594,B002-00723,528.138139999999,4,9561,2390.25
595,B002-00724,65.95433999999983,4,5318,1329.5
596,B002-00725,291.3090599999988,1,13397,13397.0
597,B002-00726,297.4448299999991,2,155,77.5
598,B002-00727,267.7231899999984,1,2022,2022.0
599,B002-00728,415.03969000000035,1,1410,1410.0
600,B002-00730,0.101525234,4,5596,1399.0
601,B002-00731,23772.766309899995,1,42307,42307.0
602,B002-00732,1559.127461065,4,6207,1551.75
603,B002-00733,3052.124495136002,1,402,402.0
604,B002-00734,1244.6016799999973,1,10410,10410.0
605,B002-00735,133.7372199999992,1,14,14.0
606,B002-00736,5.1781099999999975,5,6442,1288.4
607,B002-00737,189.55387999999868,13,165634,12741.076923076924
608,B002-00738,235.18769999999856,3,12382,4127.333333333333
609,B002-00739,365.9245999999996,3,6155,2051.6666666666665
610,B002-00740,82.67852999999972,16,130341,8146.3125
611,B002-00741,112.48675999999938,1,1200,1200.0
612,B002-00742,4014.665627773002,2,67,33.5
613,B002-00743,0.1449027,1,256,256.0
614,B002-00744,478.48364742000035,7,603,86.14285714285714
615,B002-00745,30341.101644940016,2,596,298.0
616,B002-00746,19.23330000000002,3,8583,2861.0
617,B002-00747,60.978719999999946,37,192375,5199.324324324324
618,B002-00748,536.6672500000004,5,53032,10606.4
619,B002-00749,0.23207,2,530,265.0
620,B002-00750,998.7066499999991,1,10026,10026.0
621,B002-00751,0.55116,1,24,24.0
622,B002-00752,94.3114799999995,2,12007,6003.5
623,B002-00753,105.94481999999944,1,22316,22316.0
624,B002-00754,1535.1022643180004,2,3945,1972.5
625,B002-00755,171.68106259300006,15,9177,611.8
626,B002-00756,8432.338057379995,11,24702,2245.6363636363635
627,B002-00757,2.581743634000001,6,10955,1825.8333333333333
628,B002-00758,17.12654151500001,3,4532,1510.6666666666667
629,B002-00759,258.4930925970005,4,3739,934.75
630,B002-00760,0.36252065,8,16451,2056.375
631,B002-00761,15456.411559299999,2,1631,815.5
632,B002-00762,110.76073999999937,1,86,86.0
633,B002-00764,122.62608999999945,1,2,2.0
634,B002-00765,11.284570000000013,2,250,125.0
635,B002-00766,371.0450299999995,35,190382,5439.4857142857145
636,B002-00768,831.9239500000002,1,27,27.0
637,B002-00769,4753.1453999999985,2,4120,2060.0
638,B002-00770,179.50164999999885,40,11758,293.95
639,B002-00771,291.6861699999991,5,12536,2507.2
640,B002-00772,661.0072699999998,2,13,6.5
641,B002-00773,10.037180000000012,1,2,2.0
642,B002-00774,210.66290169199993,1,331,331.0
643,B002-00775,505.24718064499973,6,7379,1229.8333333333333
644,B002-00776,538.1981306710002,2,3223,1611.5
645,B002-00777,10219.67107269,3,4532,1510.6666666666667
646,B002-00779,289.7279799999987,1,2,2.0
647,B002-00780,0.0,4,33,8.25
648,B002-00782,3.2490199999999985,8,4843,605.375
649,B002-00783,131.64840999999942,6,2094,349.0
650,B002-00784,9.718070000000015,4,897720,224430.0
651,B002-00785,0.40612000000000004,1,2691,2691.0
652,B002-00786,10370.91645761999,1,1380,1380.0
653,B002-00787,375.26729704999997,1,4,4.0
654,B002-00788,137.94239270100007,48,367090,7647.708333333333
655,B002-00789,94.03414529700002,2,1253,626.5
656,B002-00790,125.86062999999932,2,35301,17650.5
657,B002-00791,624.0330300000005,3,75421,25140.333333333332
658,B002-00792,66.91090999999984,25,40079,1603.16
659,B002-00793,0.0,7,9745,1392.142857142857
660,B002-00794,247.31318876100008,4,2263,565.75
661,B002-00795,85.39911988000027,1,182,182.0
662,B002-00796,47917.978228420005,4,192,48.0
663,B002-00797,77.10373867300018,1,11501,11501.0
664,B002-00798,904.0882300000003,1,452,452.0
665,B002-00799,8.224080000000002,1,243,243.0
666,B002-00800,104.77004999999933,1,374,374.0
667,B002-00801,38.37971999999998,1,714,714.0
668,B002-00802,1668.0863600000005,3,18300,6100.0
669,B002-00804,77.96401999999976,1,154,154.0
670,B002-00805,172.74214999999887,1,10163,10163.0
671,B002-00807,70.78420999999993,4,2124,531.0
672,B002-00808,1.71155,7,132,18.857142857142858
673,B002-00809,287.81322999999895,7,1423580,203368.57142857142
674,B002-00811,0.40609533600000003,44,250094,5683.954545454545
675,B002-00812,1296.9908507209998,3,9397,3132.3333333333335
676,B002-00813,0.40609533600000003,2,2654,1327.0
677,B002-00815,35.24640999999998,3,576,192.0
678,B002-00816,204.40731999999872,21,56975,2713.095238095238
679,B002-00818,8.03547,1,343,343.0
680,B002-00819,31.82363000000002,4,36619,9154.75
681,B002-00820,0.0,2,1216,608.0
682,B002-00821,6617.12849,1,100,100.0
683,B002-00822,570.6533500000005,1,2212,2212.0
684,B002-00824,2515.054280000001,1,321,321.0
685,B002-00825,42.455699999999915,45,732739,16283.08888888889
686,B002-00826,912.9220099999998,1,4027,4027.0
687,B002-00827,1040.5111699999993,2,98,49.0
688,B002-00828,0.7542200000000001,1,167,167.0
689,B002-00829,122.77119999999918,5,6447,1289.4
690,B002-00830,54.40773999999987,1,248,248.0
691,B002-00831,1345.312469999998,1,941,941.0
692,B002-00832,28.08109000000003,1,43500,43500.0
693,B002-00833,125.73033999999927,1,3,3.0
694,B002-00834,96.67459034399994,3,6197,2065.6666666666665
695,B002-00835,13.361924798999995,15,20334,1355.6
696,B002-00836,65.79612441800003,1,185,185.0
697,B002-00837,5964.659660518998,3,3407,1135.6666666666667
698,B002-00838,138.2049599999992,2,97,48.5
699,B002-00839,2126.325019999997,2,2300,1150.0
700,B002-00840,148.30042999999904,1,177,177.0
701,B002-00841,1947.0821600000027,1,8196,8196.0
702,B002-00842,15984.072190279992,1,3207,3207.0
703,B002-00843,86.52186346700009,1,266,266.0
704,B002-00844,0.087023976,1,1414,1414.0
705,B002-00845,2170.2594265069993,1,495,495.0
706,B002-00846,602.275109999999,2,7370,3685.0
707,B002-00847,100.47638999999948,2,12047,6023.5
708,B002-00849,37.19010999999997,1,22,22.0
709,B002-00850,255.01663999999843,16,48510,3031.875
710,B002-00851,51.47765999999994,7,38208,5458.285714285715
711,B002-00852,4624.772840000003,13,11343,872.5384615384615
712,B002-00853,0.0,1,54,54.0
713,B002-00854,310.1658699999992,2,7993,3996.5
714,B002-00855,241.57025999999829,1,248,248.0
715,B002-00856,493.8619100000004,1,11109,11109.0
716,B002-00857,562.2402400000008,1,111,111.0
717,B002-00858,1863.255640000001,5,77532,15506.4
718,B002-00859,8023.960480000002,1,144,144.0
719,B002-00860,1617.2300900000025,3,23684,7894.666666666667
720,B002-00861,222.49552999999852,5,3124,624.8
721,B002-00862,144.268159999999,2,618,309.0
722,B002-00863,5485.753409999996,3,201,67.0
723,B002-00864,904.3637099999996,5,35094,7018.8
724,B002-00865,348.9968599999993,3,1556,518.6666666666666
725,B002-00866,68.8837599999998,1,8238,8238.0
726,B002-00867,87.72819,6,8132,1355.3333333333333
727,B002-00868,1583.6065400000007,18,59338,3296.5555555555557
728,B002-00869,541.4830599999998,4,2764,691.0
729,B002-00870,1926.80354,6,1653,275.5
730,B002-00871,30.996620000000057,1,20,20.0
731,B002-00872,8715.64901,1,25,25.0
732,B002-00873,749.1564599999998,11,8598,781.6363636363636
733,B002-00874,34.650205504000034,4,1409,352.25
734,B002-00875,3742.416134168001,3,280,93.33333333333333
735,B002-00876,3843.8382410690006,1,742,742.0
736,B002-00877,23806.990984219996,1,12,12.0
737,B002-00878,159.74523999999894,1,2206,2206.0
738,B002-00879,542.2229600000016,2,17165,8582.5
739,B002-00880,3643.093119999999,1,106,106.0
740,B002-00881,679.73364,11,25897,2354.2727272727275
741,B002-00882,1143.687859999999,2,1595,797.5
742,B002-00883,200.24435999999858,2,920,460.0
743,B002-00884,1180.3574499999986,1,4141,4141.0
744,B002-00887,190.96076999999886,1,793,793.0
745,B002-00888,14.533600000000034,1,344,344.0
746,B002-00889,8738.248340000002,1,4,4.0
747,B002-00890,6726.449910504007,1,422,422.0
748,B002-00894,451.87079167600064,153,13311487,87003.18300653595
749,B002-00896,76.80425794599985,2,158,79.0
750,B002-00897,79.42936963099994,1,74,74.0
751,B002-00898,2794.4271716970034,2,97,48.5
752,B002-00900,20772.715169941,24,108311,4512.958333333333
753,B002-00901,809.4600373599982,1,138,138.0
754,B002-00902,7.41185,20,335869,16793.45
755,B002-00904,9.471470000000009,13,21103,1623.3076923076924
756,B002-00905,1345.4720199999995,1,2,2.0
757,B002-00906,28.21179000000004,1,129,129.0
758,B002-00907,2916.4902700000016,1,4979,4979.0
759,B002-00908,257.9756499999986,3,114302,38100.666666666664
760,B002-00909,58.23695999999984,4,18429,4607.25
761,B002-00910,2088.360606886001,1,3012,3012.0
762,B002-00911,290.1064249289996,5,2083,416.6
763,B002-00912,7.179904177000008,1,5523,5523.0
764,B002-00913,5.120252150000002,1,77,77.0
765,B002-00914,0.0,1,508,508.0
766,B002-00915,1571.857259999999,3,30781,10260.333333333334
767,B002-00916,30.126470000000037,1,2315,2315.0
768,B002-00917,1921.306009999999,3,3451,1150.3333333333333
769,B002-00918,215.27189999999848,1,1,1.0
770,B002-00919,1.8130299999999993,2,710,355.0
771,B002-00920,216.780419999999,1,5602,5602.0
772,B002-00921,114.5320699999993,4,9872,2468.0
773,B002-00923,326.5715199999997,1,665,665.0
774,B002-00924,161.02182999999906,1,7906,7906.0
775,B002-00925,0.3336,1,1770,1770.0
776,B002-00926,198.28492697999997,1,38,38.0
777,B002-00927,280.90824503700054,2,2610,1305.0
778,B002-00928,118.09887975100013,1,30600,30600.0
779,B002-00930,160.9346999999989,1,23783,23783.0
780,B002-00931,653.6384699999994,7,3157,451.0
781,B002-00932,136.07259999999917,3,7748,2582.6666666666665
782,B002-00933,0.0,1,11,11.0
783,B002-00935,95.3771685329999,1,473,473.0
784,B002-00936,52958.86242351995,2,104,52.0
785,B002-00937,0.20225774600000002,3,1033,344.3333333333333
786,B002-00938,69.40697529099994,1,4590,4590.0
787,B002-00939,273598.7401179,1,41,41.0
788,B002-00941,164.01832011699986,1,6,6.0
789,B002-00942,520.392396043,1,256,256.0
790,B002-00944,5.903407293000003,5,758,151.6
791,B002-00945,29366.163131420002,15,31959,2130.6
792,B002-00946,20719.13025999999,4,76778,19194.5
793,B002-00947,0.7252200000000001,2,30582,15291.0
794,B002-00948,333.46157999999895,2,3140,1570.0
795,B002-00949,1579.458079999999,1,28,28.0
796,B002-00950,171.3350799999989,1,108,108.0
797,B002-00954,252.21901999999986,3,15,5.0
798,B002-00955,81.73550999999966,2,213,106.5
799,B002-00956,2777.456380000001,2,947,473.5
800,B002-00957,277.67412999999885,1,23,23.0
801,B002-00958,18597.124277190014,1,788,788.0
802,B002-00959,1111.5807043979999,1,6309,6309.0
803,B002-00962,429.87653866099953,1,693,693.0
804,B002-00963,27924.905267339993,2,1938,969.0
805,B002-00964,11.008306063000008,4,9598,2399.5
806,B002-00965,423.0009936999999,3,3343,1114.3333333333333
807,B002-00966,1576.2089699999995,1,245,245.0
808,B002-00968,707.6131300000006,1,16,16.0
809,B002-00969,706.49616,1,12,12.0
810,B002-00970,388.6128315180004,2,3538,1769.0
811,B002-00972,0.0,1,10,10.0
812,B002-00973,6797.690962261998,1,274,274.0
813,B002-00974,85.07179999999956,5,900,180.0
814,B002-00975,596.763030000001,2,24,12.0
815,B002-00976,1476.1944100000012,1,180,180.0
816,B002-00977,153.88510999999897,1,406,406.0
817,B002-00978,50.506285596999966,6,3145,524.1666666666666
818,B002-00979,27.704452785000054,2,658,329.0
819,B002-00980,0.087029254,2,448,224.0
820,B002-00981,329.40022968200043,1,558,558.0
821,B002-00982,5.221629999999999,1,7,7.0
822,B002-00983,669.6524700000012,1,933,933.0
823,B002-00984,205.5968299999987,4,2392,598.0
824,B002-00985,854.4217000000012,35,826973,23627.8
825,B002-00986,7.136180000000001,4,675,168.75
826,B002-00987,296.7195199999988,1,507,507.0
827,B002-00988,605.5244500000007,1,1,1.0
828,B002-00989,1619.376910000002,3,3719,1239.6666666666667
829,B002-00992,1254.0592499999993,3,2687,895.6666666666666
830,B002-00993,387.9726999999997,5,14364,2872.8
831,B002-00994,151.30347999999896,1,2868,2868.0
832,B002-00996,1573.9606600000006,4,86310,21577.5
833,B002-00997,81.25692999999956,1,120,120.0
834,B002-00998,36.13136999999995,3,15886,5295.333333333333
835,B002-00999,282.2866299999988,4,65736,16434.0
836,B002-01000,133.59210999999905,5,84984,16996.8
837,B002-01001,5.366649999999999,1,2590,2590.0
838,B002-01002,111.89206999999934,1,126,126.0
839,B002-01003,193.89209999999943,1,3621,3621.0
840,B002-01004,364.77870999999976,1,294,294.0
841,B002-01005,8.296610000000005,1,254,254.0
842,B002-01006,65.67249626200001,2,1761,880.5
843,B002-01007,104.25656515500064,1,1883,1883.0
844,B002-01008,477.33023923800107,2,4146,2073.0
845,B002-01009,1216.9127697439985,1,266,266.0
846,B002-01010,10.239388930000004,3,7679,2559.6666666666665
847,B002-01011,1377.880836259,1,21,21.0
848,B002-01012,12992.828706010016,1,51,51.0
849,B002-01013,1.5808159,1,73,73.0
850,B002-01014,3872.858220000002,3,1326,442.0
851,B002-01015,854.813479999999,4,6197,1549.25
852,B002-01016,2328.268740000003,3,472,157.33333333333334
853,B002-01017,370.3052599999997,1,8,8.0
854,B002-01018,89.09473486700001,2,971,485.5
855,B002-01019,12552.784959113013,1,956,956.0
856,B002-01020,767.3397713380004,8,246244,30780.5
857,B002-01021,797.5696928199993,2,333,166.5
858,B002-01022,17.08650000000003,1,2141,2141.0
859,B002-01023,51.15878999999989,4,409733,102433.25
860,B002-01024,596.3423200000002,1,2759,2759.0
861,B002-01025,276.2959499999985,1,223,223.0
862,B002-01026,350.3600947279998,1,5,5.0
863,B002-01027,0.145054566,1,780,780.0
864,B002-01028,46615.255040939985,8,1641,205.125
865,B002-01029,378.5730038010002,1,235,235.0
866,B002-01030,36442.40779545,2,2080,1040.0
867,B002-01031,317.0977559549999,7,478880,68411.42857142857
868,B002-01033,1955.145375113,3,2873,957.6666666666666
869,B002-01034,2762.501290000003,3,8484,2828.0
870,B002-01036,75.73022999999972,1,1714,1714.0
871,B002-01037,83.6068099999996,3,801,267.0
872,B002-01038,5.06204,5,4333,866.6
873,B002-01039,360.42706999999996,1,1217,1217.0
874,B002-01040,164.60461999999893,8,578657,72332.125
875,B002-01041,4.597979999999997,1,1,1.0
876,B002-01042,940.4428442240003,1,253,253.0
877,B002-01043,1529.3351017739994,1,344,344.0
878,B002-01045,3997.8278475080015,8,36226,4528.25
879,B002-01046,688.0307699999985,6,8057,1342.8333333333333
880,B002-01048,1117.9261599999984,2,411,205.5
881,B002-01049,333.548659999999,25,72191,2887.64
882,B002-01050,18.59505000000002,1,2,2.0
883,B002-01051,124.49781999999935,2,20883,10441.5
884,B002-01052,52.144730000000024,3,11771,3923.6666666666665
885,B002-01053,232.35922999999852,3,9563,3187.6666666666665
886,B002-01054,5109.1220229100045,2,345,172.5
887,B002-01058,1282.3446299999985,25,102250,4090.0
888,B002-01060,344.6743799999995,1,7,7.0
889,B002-01061,2263.2556600000034,1,1,1.0
890,B002-01062,2825.019279999999,1,1707,1707.0
891,B002-01063,27.90717000000005,42,86362,2056.2380952380954
892,B002-01064,5.81637,1,120,120.0
893,B002-01065,5396.530919999999,1,1069,1069.0
894,B002-01066,54.91549999999994,1,3261,3261.0
895,B002-01068,21.88755000000003,1,115,115.0
896,B002-01069,2336.3191600000027,16,3161039,197564.9375
897,B002-01071,246.57448999999852,2,2248,1124.0
898,B002-01072,335.57941999999963,1,39,39.0
899,B002-01073,339.017199999999,1,959,959.0
900,B002-01074,2.8574199999999985,1,267,267.0
901,B002-01075,3341.613610000004,1,55,55.0
902,B002-01076,0.14504,2,2116,1058.0
903,B002-01078,12689.22552719,16,23289,1455.5625
904,B002-01079,79.458049965,1,1808,1808.0
905,B002-01080,1.8407138419999995,17,777456,45732.705882352944
906,B002-01081,86.62710105700003,2,7769,3884.5
907,B002-01082,831.0537199999992,1,517,517.0
908,B002-01083,0.0,4,81916,20479.0
909,B002-01084,48.403219999999806,1,1348,1348.0
910,B002-01085,266.0551299999985,1,816,816.0
911,B002-01086,178.68922999999876,29,138383,4771.827586206897
912,B002-01087,472.72761000000054,6,4965,827.5
913,B002-01089,234.81062999999855,15,34943,2329.5333333333333
914,B002-01090,96.77750999999954,1,151,151.0
915,B002-01091,1915.5474500000012,5,4466,893.2
916,B002-01092,24.223240000000015,1,3141,3141.0
917,B002-01093,226.19451999999876,2,840,420.0
918,B002-01094,51.93663080099996,3,1080,360.0
919,B002-01095,23.38222134899997,1,10,10.0
920,B002-01096,108.604824568,1,76,76.0
921,B002-01097,192576.7650552002,1,727,727.0
922,B002-01098,116.3887299999993,1,144,144.0
923,B002-01099,8.412600000000003,1,4278,4278.0
924,B002-01100,141.87477999999902,1,1760,1760.0
925,B002-01101,118.12924999999917,3,25689,8563.0
926,B002-01102,531.1697800000022,1,1017,1017.0
927,B002-01103,5.627760000000001,1,2010,2010.0
928,B002-01104,78.5734099999997,1,8460,8460.0
929,B002-01105,736.9572700000016,1,405,405.0
930,B002-01106,190.36394840199992,1,8905,8905.0
931,B002-01107,2322.136381095004,4,22708,5677.0
932,B002-01109,114.81980422699961,1,212,212.0
933,B002-01110,52.73868183199993,5,6545,1309.0
934,B002-01111,209.03461626500012,1,250,250.0
935,B002-01112,425.68982102200016,1,1880,1880.0
936,B002-01113,9047.646186347994,4,91801,22950.25
937,B002-01114,8432.338057379995,1,7580,7580.0
938,B002-01115,11.095789081,9,9085,1009.4444444444445
939,B002-01116,311.2372806189994,2,7,3.5
940,B002-01117,26.166328178999994,1,3062,3062.0
941,B002-01118,17826.310270000005,1,74,74.0
942,B002-01119,181.32925999999875,2,102,51.0
943,B002-01120,70.8711499999998,1,19530,19530.0
944,B002-01121,78.5877899999996,1,93,93.0
945,B002-01122,0.47864000000000007,1,3943,3943.0
946,B002-01123,240.5837599999985,2,5209,2604.5
947,B002-01124,5589.39428,1,35468,35468.0
948,B002-01125,7.034720000000002,6,4098,683.0
949,B002-01126,0.36261,10,541301,54130.1
950,B002-01128,455.27769,1,1,1.0
951,B002-01129,84.46260999999961,1,84,84.0
952,B002-01131,211.48600999999863,1,7340,7340.0
953,B002-01132,875.2950199999991,3,1179,393.0
954,B002-01133,21.118980000000022,2,2735,1367.5
955,B002-01134,805.4225900000004,1,2,2.0
956,B002-01135,1181.8079299999988,1,70,70.0
957,B002-01136,2.9009799999999992,1,1502,1502.0
958,B002-01138,1035.1151599999992,86,461176,5362.511627906977
959,B002-01139,4.510889999999998,1,694,694.0
960,B002-01140,15.67947000000003,12,19571,1630.9166666666667
961,B002-01141,178.39923999999877,1,329500,329500.0
962,B002-01142,101.79629999999943,12,14115,1176.25
963,B002-01143,1345.776619999999,9,2583,287.0
964,B002-01144,3502.521700000001,6,171349,28558.166666666668
965,B002-01146,24.962710000000033,1,551,551.0
966,B002-01150,143.29625999999897,2,23331,11665.5
967,B002-01151,1361.863139999999,2,1622,811.0
968,B002-01152,99.08380999999946,3,14010,4670.0
969,B002-01153,3018.8402000000024,15,18822,1254.8
970,B002-01154,5174.4307019319995,1,10,10.0
971,B002-01155,6.120104661000007,1,16304,16304.0
972,B002-01156,825.6846900309996,35,144041,4115.457142857143
973,B002-01157,2239.6027825630003,1,353,353.0
974,B002-01158,477.35489999999925,1,467,467.0
975,B002-01159,58.93353999999991,1,672,672.0
976,B002-01160,155.08905999999908,3,1406,468.6666666666667
977,B002-01161,138.5384499999991,2,1289,644.5
978,B002-01162,0.47865,2,609372,304686.0
979,B002-01163,80.27029999999964,1,976,976.0
980,B002-01164,4482.272179999998,2,825,412.5
981,B002-01165,21918.622629999987,2,2994,1497.0
982,B002-01166,16.071400000000015,3,1484,494.6666666666667
983,B002-01167,413.11056999999977,1,219,219.0
984,B002-01168,237.3925599999987,1,1120,1120.0
985,B002-01170,0.0,1,2155,2155.0
986,B002-01171,78.82002999999983,2,55,27.5
987,B002-01173,261.1379999999987,3,141,47.0
988,B002-01174,81.96741999999965,1,127,127.0
989,B002-01175,3024.9615199999976,1,0,0.0
990,B002-01177,808.1207800000003,7,3898,556.8571428571429
991,B002-01178,432.4340927990001,29,63263,2181.4827586206898
992,B002-01179,4967.9582610120015,2,2745,1372.5
993,B002-01180,1136.4901808659995,3,5342,1780.6666666666667
994,B002-01181,11692.60299784999,1,823,823.0
995,B002-01182,13287.819930490992,7,2811,401.57142857142856
996,B002-01183,92.44110599399987,1,2858,2858.0
997,B002-01184,23.052658762000007,2,108,54.0
998,B002-01185,665.7745115540005,1,265,265.0
999,B002-01186,15413.611085659992,1,146,146.0
1000,B002-01187,4.815396148,1,321,321.0
1001,B002-01188,764.1666936190005,9,71693,7965.888888888889
1002,B002-01189,1627.3525004989995,1,2439,2439.0
1003,B002-01190,216.52793445500015,1,1817,1817.0
1004,B002-01191,292.0639611319998,10,11931,1193.1
1005,B002-01192,13341.711650642002,1,44,44.0
1006,B002-01193,228.87934835100012,1,2,2.0
1007,B002-01194,371.03237217000003,1,5736,5736.0
1008,B002-01195,4098.841372204998,1,12748,12748.0
1009,B002-01197,361.96643365300054,2,11671,5835.5
1010,B002-01198,1072.930589999998,8,7638,954.75
1011,B002-01199,84.4914999999995,1,8,8.0
1012,B002-01200,580.8360900000004,3,19260,6420.0
1013,B002-01201,265.4169799999988,5,4131,826.2
1014,B002-01202,34.91286000000002,2,493,246.5
1015,B002-01203,100.37472999999953,9,10731,1192.3333333333333
1016,B002-01204,916.867429999999,1,559,559.0
1017,B002-01205,1437.0008599999994,1,141,141.0
1018,B002-01206,1764.0295268630011,18,109702,6094.555555555556
1019,B002-01207,17409.803890729996,3,2738,912.6666666666666
1020,B002-01208,130.118507146,3,3020,1006.6666666666666
1021,B002-01209,123.32977929800022,1,169,169.0
1022,B002-01210,25464.627637080004,6,17413,2902.1666666666665
1023,B002-01211,45.831765336999915,1,11,11.0
1024,B002-01212,409.4970523479999,1,6,6.0
1025,B002-01213,1343.7491341389996,37,1865841,50428.13513513513
1026,B002-01214,115.21387999999939,1,2420,2420.0
1027,B002-01215,1292.8465999999976,3,6722,2240.6666666666665
1028,B002-01216,334.3464499999993,2,10146,5073.0
1029,B002-01217,650.7954900000009,1,903,903.0
1030,B002-01219,356.1335000000003,10,5655,565.5
1031,B002-01220,1798.4745599999985,72,595783,8274.763888888889
1032,B002-01221,41.962789999999934,6,67823,11303.833333333334
1033,B002-01222,191.25111999999865,2,3322,1661.0
1034,B002-01224,12.981690000000015,1,10074,10074.0
1035,B002-01225,0.07252,5,92318,18463.6
1036,B002-01226,497.2125800000006,1,34,34.0
1037,B002-01227,431.242290000001,2,915,457.5
1038,B002-01228,219.68154999999885,1,2784,2784.0
1039,B002-01229,1981.7498500000004,1,1395,1395.0
1040,B002-01230,751.4964843999994,2,1736,868.0
1041,B002-01231,3857.90094534,2,30008,15004.0
1042,B002-01233,9.659818669999991,1,198,198.0
1043,B002-01234,1114.5050672660002,4,49,12.25
1044,B002-01235,593.3529156729999,1,37870,37870.0
1045,B002-01236,451.34446393699983,1,60,60.0
1046,B002-01237,136.93862962,1,246,246.0
1047,B002-01238,46.067639999999884,1,864,864.0
1048,B002-01239,7.963010000000004,1,192,192.0
1049,B002-01240,131.98204999999908,4,4549,1137.25
1050,B002-01241,190.6562799999987,1,30,30.0
1051,B002-01242,91.29491999999973,1,21,21.0
1052,B002-01243,1174.7874099999997,2,86,43.0
1053,B002-01244,62.98046999999991,2,335,167.5
1054,B002-01246,26.81457719599999,1,31,31.0
1055,B002-01247,4.210263448999999,1,1179,1179.0
1056,B002-01249,2773.6034225909966,8,2730,341.25
1057,B002-01250,101.09997999999943,3,846,282.0
1058,B002-01251,2519.3333599999996,1,9,9.0
1059,B002-01252,651.9993899999988,1,752,752.0
1060,B002-01253,282.7218299999991,1,544,544.0
1061,B002-01254,3393.20918,2,6346,3173.0
1062,B002-01255,1434.128849999999,2,3255,1627.5
1063,B002-01257,2.248189999999999,1,25,25.0
1064,B002-01258,4749.359460000001,1,154,154.0
1065,B002-01259,891.6280499999997,3,26380,8793.333333333334
1066,B002-01260,2978.76175,1,4911,4911.0
1067,B002-01261,92.83222999999963,1,4326,4326.0
1068,B002-01262,0.73973,3,1521,507.0
1069,B002-01263,4.336809999999997,1,3242,3242.0
1070,B002-01264,0.30459,2,2033,1016.5
1071,B002-01265,227.26798999999878,19,100219,5274.684210526316
1072,B002-01266,6.8171391769999925,3,1540,513.3333333333334
1073,B002-01267,1794.8591840059985,1,88,88.0
1074,B002-01268,84.08291137400022,1,1438,1438.0
1075,B002-01269,22349.422459969952,8,329254,41156.75
1076,B002-01271,77.10815999999969,1,1129,1129.0
1077,B002-01272,4081.749839999998,1,1,1.0
1078,B002-01273,1074.932419999998,1,2,2.0
1079,B002-01274,57394.112133579976,2,392,196.0
1080,B002-01275,21547.28486048,2,118,59.0
1081,B002-01276,2.1065342229999997,1,2136,2136.0
1082,B002-01277,30.258343230999994,20,123791,6189.55
1083,B002-01278,2.7703599999999984,2,6646,3323.0
1084,B002-01279,548.83728,6,6237,1039.5
1085,B002-01280,78.66123999999981,1,599,599.0
1086,B002-01281,62.298349999999886,1,36,36.0
1087,B002-01282,3.321569999999998,3,1075,358.3333333333333
1088,B002-01283,6.28047,1,552,552.0
1089,B002-01284,1.7840599999999998,2,947,473.5
1090,B002-01287,2.0451199999999994,1,98,98.0
1091,B002-01290,112.4577899999994,2,1702,851.0
